Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax)
Market buy,2023-11-09 17:35:19,US65339F1012,NEE,NextEra Energy,0.392273,55.69,USD,0.04375,,CZK,500.0,CZK,,,,EOF5900756234,0.75,CZK,,
Market buy,2023-11-09 17:37:15,US6541061031,NKE,Nike,0.4065612,107.48,USD,0.04376,,CZK,1000.0,CZK,,,,EOF5900756376,1.5,CZK,,
Market buy,2023-11-09 17:37:58,US02079K3059,GOOGL,Alphabet (Class A),0.1659345,131.67,USD,0.04376,,CZK,500.0,CZK,,,,EOF5900756471,0.75,CZK,,
Market buy,2023-11-09 17:41:37,US2546871060,DIS,Walt Disney,0.239861,91.05,USD,0.04374,,CZK,500.0,CZK,,,,EOF5900756903,0.75,CZK,,
Market buy,2023-11-09 17:44:28,US68389X1054,ORCL,Oracle,0.2703899,113.09,USD,0.04374,,CZK,700.0,CZK,,,,EOF5900757485,1.05,CZK,,
Market buy,2023-11-09 17:45:08,US0231351067,AMZN,Amazon,0.2157971,141.69,USD,0.04374,,CZK,700.0,CZK,,,,EOF5900757533,1.05,CZK,,
Market sell,2023-11-10 14:30:05,US65339F1012,NEE,NextEra Energy,1.132278,54.95,USD,0.04361,-27.62,CZK,1424.56,CZK,,,,EOF5901868729,2.14,CZK,,
Market sell,2023-11-10 19:42:11,US0378331005,AAPL,Apple,0.1168683,185.78,USD,0.04348,33.07,CZK,498.5,CZK,,,,EOF5950687290,0.75,CZK,,
Deposit,2023-11-13 09:43:36,,,,,,,,,,2000.0,CZK,,,Transaction ID: K9RRHTWG5WBJ8C52,07684d9d-c03d-4397-befc-af3940011189,,,,
Market sell,2023-11-13 15:03:09,US2546871060,DIS,Walt Disney,0.244971,88.55,USD,0.04344,27.93,CZK,498.5,CZK,,,,EOF6050574683,0.75,CZK,,
Market sell,2023-11-13 15:48:33,US46625H1005,JPM,JPMorgan Chase & Co,0.1493541,145.38,USD,0.04349,0.74,CZK,498.5,CZK,,,,EOF6050583562,0.75,CZK,,
Market sell,2023-11-13 17:40:32,US6541061031,NKE,Nike,0.5711146,104.41,USD,0.04357,-29.6,CZK,1366.25,CZK,,,,EOF6050596323,2.05,CZK,,
Market sell,2023-11-14 17:34:29,US0378331005,AAPL,Apple,0.1183449,187.19,USD,0.04437,27.18,CZK,498.5,CZK,,,,EOF6100079074,0.75,CZK,,
Market sell,2023-11-14 17:35:51,US0846707026,BRK.B,Berkshire Hathaway (Class B),0.0626006,353.84,USD,0.04436,4.63,CZK,498.5,CZK,,,,EOF6100079147,0.75,CZK,,
Dividend (Dividend),2023-11-16 13:23:58,US0378331005,AAPL,Apple,0.8345763,0.2,USD,Not available,,,3.84,CZK,0.03,USD,,,,,,
Market sell,2023-11-17 14:44:03,US0231351067,AMZN,Amazon,0.2157971,142.68,USD,0.04439,-5.37,CZK,692.54,CZK,,,,EOF6250950185,1.04,CZK,,
Market buy,2023-11-17 14:53:04,US6668071029,NOC,Northrop Grumman,0.0953559,464.42,USD,0.04435,,CZK,1000.0,CZK,,,,EOF6250953785,1.5,CZK,,
Market buy,2023-11-17 14:54:33,US68389X1054,ORCL,Oracle,0.3843162,115.24,USD,0.04435,,CZK,1000.0,CZK,,,,EOF6250954071,1.5,CZK,,
Market buy,2023-11-17 15:03:06,US5949181045,MSFT,Microsoft,0.1193837,371.25,USD,0.04438,,CZK,1000.0,CZK,,,,EOF6250956855,1.5,CZK,,
Market buy,2023-11-17 16:05:48,US5949181045,MSFT,Microsoft,0.1200202,369.67,USD,0.04443,,CZK,1000.0,CZK,,,,EOF6250973048,1.5,CZK,,
Market sell,2023-11-20 18:32:19,US0378331005,AAPL,Apple,0.1163036,191.62,USD,0.04463,35.32,CZK,498.5,CZK,,,,EOF6351513089,0.75,CZK,,
Dividend (Dividend),2023-11-22 13:46:44,US95040Q1040,WELL,Welltower,0.733581,0.52,USD,Not available,,,8.55,CZK,0.07,USD,,,,,,
Market sell,2023-11-24 16:00:56,US68389X1054,ORCL,Oracle,0.6547061,115.57,USD,0.04479,-8.39,CZK,1686.53,CZK,,,,EOF6550273716,2.53,CZK,,
Market sell,2023-11-24 17:19:10,US95040Q1040,WELL,Welltower,0.733581,89.47,USD,0.04477,17.97,CZK,1463.59,CZK,,,,EOF6550286890,2.2,CZK,,
Market buy,2023-11-27 14:30:05,US5949181045,MSFT,Microsoft,0.0594514,376.82,USD,0.04487,,CZK,500.0,CZK,,,,EOF6650154631,0.75,CZK,,
Market sell,2023-11-28 15:15:04,US2546871060,DIS,Walt Disney,0.519176,94.19,USD,0.04515,84.13,CZK,1081.39,CZK,,,,EOF6700775592,1.62,CZK,,
Market buy,2023-11-28 20:52:18,US19260Q1076,COIN,Coinbase,0.1756404,128.98,USD,0.04537,,CZK,500.0,CZK,,,,EOF6702015562,0.75,CZK,,
Market buy,2023-11-29 17:50:41,US6668071029,NOC,Northrop Grumman,0.009682,466.7,USD,0.04525,,CZK,100.0,CZK,,,,EOF6751555584,0.15,CZK,,
