Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax)
Interest on cash,2023-12-26 22:08:30,,,,,,,,,,0.29,CZK,,,Interest on cash,76659f0c-8d7e-4fc3-8e7e-12c0e52fc2eb,,,,
Interest on cash,2023-12-27 22:08:40,,,,,,,,,,0.28,CZK,,,Interest on cash,b6cf03c1-4d2d-423c-95aa-970f70f0d2e0,,,,
Dividend (Dividend),2023-12-28 09:35:28,US67066G1040,NVDA,NVIDIA,0.143595,0.03,USD,Not available,,,0.11,CZK,0.0,USD,,,,,,
Market buy,2023-12-28 17:10:12,US6668071029,NOC,Northrop Grumman,0.0293762,466.19,USD,0.04482,,CZK,306.0,CZK,,,,EOF7951337223,0.46,CZK,,
Market buy,2023-12-28 17:10:57,US5949181045,MSFT,Microsoft,0.04697,375.48,USD,0.04482,,CZK,394.0,CZK,,,,EOF7951337269,0.59,CZK,,
Market buy,2023-12-28 17:12:10,US0846707026,BRK.B,Berkshire Hathaway (Class B),0.0730825,357.69,USD,0.04482,,CZK,583.99,CZK,,,,EOF7951337367,0.87,CZK,,
Market buy,2023-12-28 17:12:10,US0846707026,BRK.B,Berkshire Hathaway (Class B),0.0730825,357.69,USD,0.04482,,CZK,583.99,CZK,,,,EOF7951337378,0.87,CZK,,
Market sell,2023-12-28 17:12:40,US0846707026,BRK.B,Berkshire Hathaway (Class B),0.0732482,357.52,USD,0.04477,3.56,CZK,584.0,CZK,,,,EOF7951337399,0.88,CZK,,
Interest on cash,2023-12-28 22:08:16,,,,,,,,,,0.24,CZK,,,Interest on cash,02f2fedc-3034-44c3-baea-b4595b0efc58,,,,
Interest on cash,2023-12-29 22:08:31,,,,,,,,,,0.23,CZK,,,Interest on cash,75315557-37b3-46e8-8f76-fa914d026597,,,,
Interest on cash,2023-12-30 22:07:50,,,,,,,,,,0.24,CZK,,,Interest on cash,3a96142e-a3fe-4217-b1d0-b8241485ba1e,,,,
Interest on cash,2023-12-31 22:10:55,,,,,,,,,,0.24,CZK,,,Interest on cash,54ccb81d-527c-41ef-86d6-fc75db95de21,,,,
Interest on cash,2024-01-01 22:09:46,,,,,,,,,,0.24,CZK,,,Interest on cash,72fd8160-2d9c-47b2-b1a0-dbd1eb77f2ad,,,,
Market buy,2024-01-02 14:36:56,US19260Q1076,COIN,Coinbase,0.5119028,173.32,USD,0.04442,,CZK,2000.0,CZK,,,,EOF8200849387,3.0,CZK,,
Market buy,2024-01-02 16:07:07,US0378331005,AAPL,Apple,0.1190244,186.46,USD,0.04445,,CZK,500.0,CZK,,,,EOF8203801536,0.75,CZK,,
Market buy,2024-01-02 16:09:03,US19260Q1076,COIN,Coinbase,0.1348423,164.65,USD,0.04447,,CZK,500.0,CZK,,,,EOF8203801867,0.75,CZK,,
Market sell,2024-01-02 20:36:41,US19260Q1076,COIN,Coinbase,0.6467451,156.0,USD,0.04440,-224.06,CZK,2268.78,CZK,,,,EOF8203834790,3.41,CZK,,
Market buy,2024-01-02 20:38:35,US0378331005,AAPL,Apple,0.2402579,184.54,USD,0.04440,,CZK,1000.0,CZK,,,,EOF8203834919,1.5,CZK,,
Interest on cash,2024-01-02 22:08:35,,,,,,,,,,0.18,CZK,,,Interest on cash,de3143e8-3d0b-4109-88e2-0d41438bb754,,,,
Interest on cash,2024-01-03 22:07:37,,,,,,,,,,0.18,CZK,,,Interest on cash,a5bead5b-0c3d-40bc-a403-3e4e74ff7da2,,,,
Interest on cash,2024-01-04 22:09:05,,,,,,,,,,0.17,CZK,,,Interest on cash,37f36c19-a734-471a-b009-ce4faae8e9ae,,,,
Interest on cash,2024-01-05 22:08:46,,,,,,,,,,0.18,CZK,,,Interest on cash,ff73953c-6101-42be-9cb2-652cb46c7cd6,,,,
Interest on cash,2024-01-06 22:08:59,,,,,,,,,,0.18,CZK,,,Interest on cash,bf78fc56-3406-448d-8dee-d0ecac22bbde,,,,
Interest on cash,2024-01-07 22:08:30,,,,,,,,,,0.18,CZK,,,Interest on cash,4d731b8b-fac7-4715-a171-c69686eea39b,,,,
Interest on cash,2024-01-08 22:08:03,,,,,,,,,,0.18,CZK,,,Interest on cash,cdafd6d8-e67e-47ea-9c25-26cca0d6d53d,,,,
Market buy,2024-01-09 20:06:46,US6098391054,MPWR,Monolithic Power Systems,0.0745001,596.25,USD,0.04448,,CZK,1000.0,CZK,,,,EOF8550497315,1.5,CZK,,
Interest on cash,2024-01-09 22:08:40,,,,,,,,,,0.14,CZK,,,Interest on cash,5398ed51-964a-40d0-8bcc-e4efb1f32b8c,,,,
Market buy,2024-01-10 16:20:35,US6098391054,MPWR,Monolithic Power Systems,0.0755274,589.68,USD,0.04460,,CZK,1000.0,CZK,,,,EOF8600629616,1.5,CZK,,
Market sell,2024-01-10 19:57:39,US68389X1054,ORCL,Oracle,0.4794277,103.79,USD,0.04464,16.22,CZK,1112.9,CZK,,,,EOF8600648424,1.67,CZK,,
Market buy,2024-01-10 20:00:00,US0231351067,AMZN,Amazon,0.288813,154.35,USD,0.04464,,CZK,1000.0,CZK,,,,EOF8600648600,1.5,CZK,,
Interest on cash,2024-01-10 22:08:40,,,,,,,,,,0.11,CZK,,,Interest on cash,a28ddfd7-3852-47b4-ac75-b80002c29625,,,,
Market buy,2024-01-11 14:30:04,US67066G1040,NVDA,NVIDIA,0.1612858,549.99,USD,0.04441,,CZK,2000.0,CZK,,,,EOF8650533586,3.0,CZK,,
Market buy,2024-01-11 15:47:49,US19260Q1076,COIN,Coinbase,0.3037258,145.9,USD,0.04438,,CZK,1000.0,CZK,,,,EOF8651318961,1.5,CZK,,
Interest on cash,2024-01-11 22:08:35,,,,,,,,,,0.02,CZK,,,Interest on cash,ac720f1c-c9eb-4860-ba27-126b9b5cee35,,,,
Market buy,2024-01-12 14:30:09,US46625H1005,JPM,JPMorgan Chase & Co,0.0857297,173.9,USD,0.04441,,CZK,336.15,CZK,,,,EOF8652396875,0.5,CZK,,
Deposit,2024-01-12 15:15:25,,,,,,,,,,5000.0,CZK,,,Transaction ID: T3DJSJFZ6X7KFXB2,396f98f4-03c7-49b0-8d0f-e9849a7528d0,,,,
Market buy,2024-01-12 15:15:54,US67066G1040,NVDA,NVIDIA,0.1621997,547.2,USD,0.04444,,CZK,2000.0,CZK,,,,EOF8700225873,3.0,CZK,,
Market buy,2024-01-12 15:16:45,US19260Q1076,COIN,Coinbase,0.3265879,135.96,USD,0.04446,,CZK,1000.0,CZK,,,,EOF8700226033,1.5,CZK,,
Market buy,2024-01-12 15:17:49,US67066G1040,NVDA,NVIDIA,0.1626014,546.11,USD,0.04446,,CZK,2000.0,CZK,,,,EOF8700226221,3.0,CZK,,
Market sell,2024-01-18 18:18:25,US19260Q1076,COIN,Coinbase,0.6303137,125.99,USD,0.04376,-182.34,CZK,1811.94,CZK,,,,EOF9000765228,2.72,CZK,,
Market buy,2024-01-18 18:35:18,US19260Q1076,COIN,Coinbase,0.6294315,125.77,USD,0.04377,,CZK,1811.0,CZK,,,,EOF9000766454,2.71,CZK,,
Dividend (Dividend),2024-01-25 11:52:27,US68389X1054,ORCL,Oracle,0.4794277,0.34,USD,Not available,,,3.72,CZK,0.03,USD,,,,,,
Dividend (Dividend),2024-01-31 13:42:23,US46625H1005,JPM,JPMorgan Chase & Co,0.4489508,0.89,USD,Not available,,,9.16,CZK,0.07,USD,,,,,,
Dividend (Dividend),2024-02-01 10:29:40,US03027X1000,AMT,American Tower,0.0197743,1.45,USD,Not available,,,0.66,CZK,0.01,USD,,,,,,
Deposit,2024-02-10 13:07:51,,,,,,,,,,1000.0,CZK,,,Transaction ID: C52WF58KRBJH2C52,1fd401b7-8da5-40b1-9e82-c791cd636bb6,,,,
Interest on cash,2024-02-10 22:09:54,,,,,,,,,,0.04,CZK,,,Interest on cash,d727e803-a147-423e-b89e-c9816cc212c5,,,,
Market buy,2024-02-12 08:00:33,GB0031348658,BARC,Barclays,23.5717691,142.84,GBX,3.38888,,CZK,1000.0,CZK,,,,EOF10102966652,1.49,CZK,4.97,CZK
Dividend (Dividend),2024-02-15 12:27:03,US0378331005,AAPL,Apple,0.8423418,0.2,USD,Not available,,,4.06,CZK,0.03,USD,,,,,,
Dividend (Dividend),2024-03-13 09:32:15,US6668071029,NOC,Northrop Grumman,0.192347,1.59,USD,Not available,,,7.08,CZK,0.05,USD,,,,,,
Dividend (Dividend),2024-03-14 10:10:19,US5949181045,MSFT,Microsoft,0.3581182,0.64,USD,Not available,,,5.27,CZK,0.04,USD,,,,,,
Dividend (Dividend),2024-03-27 12:41:20,US67066G1040,NVDA,NVIDIA,0.6296819,0.03,USD,Not available,,,0.5,CZK,0.0,USD,,,,,,
Market sell,2024-04-01 13:30:22,US03027X1000,AMT,American Tower,0.0197743,196.04,USD,0.04266,13.46,CZK,90.72,CZK,,,,EOF12350943964,0.14,CZK,,
Market sell,2024-04-01 13:30:29,US6668071029,NOC,Northrop Grumman,0.192347,475.85,USD,0.04266,142.14,CZK,2141.91,CZK,,,,EOF12400600807,3.22,CZK,,
Market sell,2024-04-01 13:30:34,US6098391054,MPWR,Monolithic Power Systems,0.1500275,677.59,USD,0.04266,385.48,CZK,2378.91,CZK,,,,EOF12400604151,3.57,CZK,,
Market buy,2024-04-01 17:15:57,US02209S1033,MO,Altria,0.635962,43.37,USD,0.04249,,CZK,649.99,CZK,,,,EOF12403018269,0.97,CZK,,
Market buy,2024-04-01 17:16:10,US7561091049,O,Realty Income,0.515349,53.52,USD,0.04249,,CZK,650.0,CZK,,,,EOF12403018284,0.97,CZK,,
Market buy,2024-04-01 17:23:09,CA7063271034,PBA,Pembina Pipeline,0.781495,35.3,USD,0.04250,,CZK,650.0,CZK,,,,EOF12403019529,0.97,CZK,,
Market buy,2024-04-01 17:23:45,US85254J1025,STAG,STAG Industrial,0.731947,37.69,USD,0.04250,,CZK,649.99,CZK,,,,EOF12403019809,0.97,CZK,,
Market buy,2024-04-01 17:23:48,US56035L1044,MAIN,Main Street Capital,0.584604,47.19,USD,0.04250,,CZK,650.0,CZK,,,,EOF12403019815,0.97,CZK,,
Market buy,2024-04-01 17:24:04,US04010L1035,ARCC,Ares Capital,1.352937,20.39,USD,0.04250,,CZK,649.99,CZK,,,,EOF12403019871,0.97,CZK,,
Market buy,2024-04-01 17:24:16,US4781601046,JNJ,Johnson & Johnson,0.1749806,157.65,USD,0.04250,,CZK,650.0,CZK,,,,EOF12403019897,0.97,CZK,,
Market sell,2024-04-01 18:03:29,US0378331005,AAPL,Apple,0.8423418,170.02,USD,0.04249,-54.39,CZK,3365.19,CZK,,,,EOF12403025182,5.06,CZK,,
Market buy,2024-04-01 18:11:14,US0378331005,AAPL,Apple,0.8631205,170.0,USD,0.04249,,CZK,3458.19,CZK,,,,EOF12403026010,5.18,CZK,,
Dividend (Dividend),2024-04-03 08:57:50,GB0031348658,BARC,Barclays,23.5717691,5.3,GBX,Not available,,,36.87,CZK,0.0,GBX,,,,,,
Lending interest,2024-04-04 01:14:03,,,,,,,,,,0.03,CZK,,,Share lending interest,19a93345-77af-4204-9013-a2fa99e302ac,,,,
Market buy,2024-04-04 19:09:13,US0231351067,AMZN,Amazon,0.0087014,181.67,USD,0.04290,,CZK,36.9,CZK,,,,EOF12551491642,0.06,CZK,,
Lending interest,2024-04-05 01:13:16,,,,,,,,,,0.03,CZK,,,Share lending interest,71efdd31-1242-413e-af5d-42e4ecdeb52b,,,,
Lending interest,2024-04-06 01:14:15,,,,,,,,,,0.03,CZK,,,Share lending interest,fd029787-57ad-49c4-ac28-f958f4927621,,,,
Lending interest,2024-04-08 01:13:39,,,,,,,,,,0.06,CZK,,,Share lending interest,f44e5ca6-723a-47b1-ab0a-37e1b91585e3,,,,
Market sell,2024-04-09 18:38:08,US0378331005,AAPL,Apple,0.8631205,168.59,USD,0.04271,-46.25,CZK,3401.65,CZK,,,,EOF12801873422,5.11,CZK,,
Market buy,2024-04-09 18:45:21,US0231351067,AMZN,Amazon,0.2307956,184.76,USD,0.04270,,CZK,1000.0,CZK,,,,EOF12801874153,1.5,CZK,,
Lending interest,2024-04-10 01:14:52,,,,,,,,,,0.03,CZK,,,Share lending interest,deb45dfa-325f-48de-82a9-2ab2ac39945b,,,,
Lending interest,2024-04-11 01:14:18,,,,,,,,,,0.03,CZK,,,Share lending interest,1e79d2e6-4a88-4dfd-8891-c28a8ff87660,,,,
Market buy,2024-04-11 18:37:46,US0231351067,AMZN,Amazon,0.5132516,189.44,USD,0.04233,,CZK,2299.99,CZK,,,,EOF12900740905,3.44,CZK,,
Market sell,2024-04-11 18:38:56,US0231351067,AMZN,Amazon,0.4474192,189.4,USD,0.04230,142.81,CZK,2000.0,CZK,,,,EOF12900740957,3.0,CZK,,
Market buy,2024-04-11 18:43:39,US85254J1025,STAG,STAG Industrial,0.32074,37.56,USD,0.04233,,CZK,285.0,CZK,,,,EOF12900741560,0.43,CZK,,
Market buy,2024-04-11 18:43:53,US7561091049,O,Realty Income,0.228854,52.64,USD,0.04233,,CZK,285.0,CZK,,,,EOF12900741577,0.43,CZK,,
Market buy,2024-04-11 18:44:08,CA7063271034,PBA,Pembina Pipeline,0.343124,35.11,USD,0.04233,,CZK,285.0,CZK,,,,EOF12900741603,0.43,CZK,,
Market buy,2024-04-11 18:44:47,US56035L1044,MAIN,Main Street Capital,0.252598,47.69,USD,0.04233,,CZK,285.0,CZK,,,,EOF12900741664,0.43,CZK,,
Market buy,2024-04-11 18:45:45,US4781601046,JNJ,Johnson & Johnson,0.0806825,149.3,USD,0.04233,,CZK,285.0,CZK,,,,EOF12900741806,0.43,CZK,,
Market buy,2024-04-11 18:46:08,US04010L1035,ARCC,Ares Capital,0.58618,20.55,USD,0.04233,,CZK,285.0,CZK,,,,EOF12900742086,0.43,CZK,,
Market buy,2024-04-11 18:46:25,US02209S1033,MO,Altria,0.289572,41.6,USD,0.04233,,CZK,285.0,CZK,,,,EOF12900742107,0.43,CZK,,
Lending interest,2024-04-12 01:15:27,,,,,,,,,,0.03,CZK,,,Share lending interest,1eb847f9-2c6b-4da1-b0ff-bbefdf3f0f25,,,,
Lending interest,2024-04-13 01:14:53,,,,,,,,,,0.03,CZK,,,Share lending interest,dc02a838-4e76-4162-893c-2a1f786147d9,,,,
Lending interest,2024-04-15 01:16:50,,,,,,,,,,0.07,CZK,,,Share lending interest,df5d57a1-70ff-4be7-a9fe-264683063632,,,,
Dividend (Dividend),2024-04-15 13:31:32,US6098391054,MPWR,Monolithic Power Systems,0.1500275,1.06,USD,Not available,,,3.79,CZK,0.03,USD,,,,,,
Dividend (Dividend),2024-04-15 13:50:54,US56035L1044,MAIN,Main Street Capital,0.584604,0.2,USD,Not available,,,2.84,CZK,0.02,USD,,,,,,
Lending interest,2024-04-16 01:15:11,,,,,,,,,,0.05,CZK,,,Share lending interest,59377ed0-b79b-4108-a46b-e5c44f2d1efc,,,,
Market buy,2024-04-16 18:40:12,US4781601046,JNJ,Johnson & Johnson,0.0290481,144.98,USD,0.04217,,CZK,100.0,CZK,,,,EOF13152302062,0.15,CZK,,
Lending interest,2024-04-17 01:14:50,,,,,,,,,,0.05,CZK,,,Share lending interest,affbc89c-f575-4adf-842e-ce593871dc26,,,,
Lending interest,2024-04-18 01:15:39,,,,,,,,,,0.05,CZK,,,Share lending interest,f102c179-3c76-4b30-830c-f86d741ef1ef,,,,
Lending interest,2024-04-19 01:13:41,,,,,,,,,,0.05,CZK,,,Share lending interest,3c3447a0-a06c-4012-bbc6-9269be01510e,,,,
Market sell,2024-04-19 14:49:14,US88160R1014,TSLA,Tesla,1.8246586,150.04,USD,0.04227,-496.84,CZK,6465.68,CZK,,,,EOF13300297469,9.71,CZK,,
Market sell,2024-04-19 14:54:37,US19260Q1076,COIN,Coinbase,0.1913959,221.0,USD,0.04223,451.64,CZK,1000.0,CZK,,,,EOF13300298103,1.5,CZK,,
Market buy,2024-04-19 15:10:13,US5949724083,MSTR,MicroStrategy,0.06956252,1212.87,USD,0.04224,,CZK,2000.0,CZK,,,,EOF13301350423,3.0,CZK,,
Market buy,2024-04-19 15:16:12,US5949724083,MSTR,MicroStrategy,0.03476144,1213.33,USD,0.04224,,CZK,1000.0,CZK,,,,EOF13301351495,1.5,CZK,,
Market buy,2024-04-19 15:18:29,US19260Q1076,COIN,Coinbase,0.1909092,220.95,USD,0.04224,,CZK,1000.0,CZK,,,,EOF13301351864,1.5,CZK,,
Market buy,2024-04-19 15:20:09,US5949724083,MSTR,MicroStrategy,0.06971041,1209.99,USD,0.04223,,CZK,2000.0,CZK,,,,EOF13301352116,3.0,CZK,,
Lending interest,2024-04-20 01:14:43,,,,,,,,,,0.05,CZK,,,Share lending interest,ac638b38-92c8-4b06-9c13-c3681866f8d5,,,,
Deposit,2024-04-21 16:52:24,,,,,,,,,,1000.0,CZK,,,Transaction ID: G85JCTVVQ3XWSND3,dace64ea-1b9c-4243-8afd-93864bcdca28,,,,
Lending interest,2024-04-22 01:14:03,,,,,,,,,,0.1,CZK,,,Share lending interest,a6305ea1-174d-4464-b1bb-12f23e6db1da,,,,
Market buy,2024-04-22 07:00:33,GB0031348658,BARC,Barclays,2.2404448,189.26,GBX,3.41433,,CZK,125.0,CZK,,,,EOF13350717832,0.19,CZK,0.62,CZK
Market buy,2024-04-22 13:30:05,US04010L1035,ARCC,Ares Capital,0.254587,20.6,USD,0.04201,,CZK,125.0,CZK,,,,EOF13400722720,0.19,CZK,,
Market buy,2024-04-22 13:30:07,CA7063271034,PBA,Pembina Pipeline,0.149985,34.97,USD,0.04202,,CZK,125.0,CZK,,,,EOF13400724222,0.19,CZK,,
Market buy,2024-04-22 13:30:08,US7561091049,O,Realty Income,0.098906,53.03,USD,0.04202,,CZK,125.0,CZK,,,,EOF13400725376,0.19,CZK,,
Market buy,2024-04-22 13:30:11,US56035L1044,MAIN,Main Street Capital,0.109748,47.79,USD,0.04202,,CZK,125.0,CZK,,,,EOF13400727329,0.19,CZK,,
Market buy,2024-04-22 13:30:13,US4781601046,JNJ,Johnson & Johnson,0.035296,148.6,USD,0.04202,,CZK,125.0,CZK,,,,EOF13400729241,0.19,CZK,,
Market buy,2024-04-22 13:30:19,US85254J1025,STAG,STAG Industrial,0.148707,35.27,USD,0.04202,,CZK,125.0,CZK,,,,EOF13400734155,0.19,CZK,,
Market buy,2024-04-22 13:33:58,US02209S1033,MO,Altria,0.124111,42.25,USD,0.04201,,CZK,125.0,CZK,,,,EOF13400742940,0.19,CZK,,
Market sell,2024-04-22 17:44:08,US5949724083,MSTR,MicroStrategy,0.06364117,1326.77,USD,0.04215,177.33,CZK,2000.0,CZK,,,,EOF13403106935,3.0,CZK,,
Market sell,2024-04-22 17:52:10,US19260Q1076,COIN,Coinbase,0.0563146,225.0,USD,0.04217,98.37,CZK,300.0,CZK,,,,EOF13403108180,0.45,CZK,,
Market sell,2024-04-22 17:56:10,US5949724083,MSTR,MicroStrategy,0.01572766,1329.18,USD,0.04216,44.56,CZK,495.0,CZK,,,,EOF13403108782,0.74,CZK,,
Lending interest,2024-04-23 07:57:10,,,,,,,,,,0.05,CZK,,,Share lending interest,6e98c687-8711-4ff4-a7b6-820639057d07,,,,
Market sell,2024-04-23 16:10:49,US19260Q1076,COIN,Coinbase,0.0292328,233.73,USD,0.04237,56.34,CZK,161.0,CZK,,,,EOF13450910820,0.24,CZK,,
Market buy,2024-04-23 16:46:35,US02079K3059,GOOGL,Alphabet (Class A),0.5334183,158.76,USD,0.04240,,CZK,2000.0,CZK,,,,EOF13450914131,3.0,CZK,,
Market buy,2024-04-23 16:47:47,US5949181045,MSFT,Microsoft,0.1039653,407.25,USD,0.04240,,CZK,1000.0,CZK,,,,EOF13450914270,1.5,CZK,,
Lending interest,2024-04-24 01:16:38,,,,,,,,,,0.06,CZK,,,Share lending interest,9f78c385-4bf1-4c2c-8726-57af91a1cee0,,,,
Market buy,2024-04-24 15:37:53,US88160R1014,TSLA,Tesla,0.3742754,162.18,USD,0.04234,,CZK,1435.74,CZK,,,,EOF13500979619,2.15,CZK,,
Market sell,2024-04-24 18:05:12,US5949724083,MSTR,MicroStrategy,0.09466554,1287.23,USD,0.04239,158.83,CZK,2870.17,CZK,,,,EOF13500994109,4.31,CZK,,
Market buy,2024-04-24 18:09:55,US6098391054,MPWR,Monolithic Power Systems,0.0663394,638.0,USD,0.04238,,CZK,1000.0,CZK,,,,EOF13500994398,1.5,CZK,,
Market buy,2024-04-24 18:10:47,US6098391054,MPWR,Monolithic Power Systems,0.124077,637.92,USD,0.04238,,CZK,1870.17,CZK,,,,EOF13500994439,2.8,CZK,,
Lending interest,2024-04-25 07:05:08,,,,,,,,,,0.06,CZK,,,Share lending interest,e81c45e1-112f-485a-bb5a-cd2a6f737c9d,,,,
Lending interest,2024-04-26 06:57:14,,,,,,,,,,0.06,CZK,,,Share lending interest,a59f3403-3960-41cf-a4df-17e0652b61b5,,,,
Lending interest,2024-04-27 06:39:43,,,,,,,,,,0.06,CZK,,,Share lending interest,31658507-77cf-4ded-9e2c-b000a5ac191f,,,,
Lending interest,2024-04-29 01:14:41,,,,,,,,,,0.12,CZK,,,Share lending interest,97321dd1-9e95-44d3-8e60-08e5d912623a,,,,
Lending interest,2024-04-30 01:12:42,,,,,,,,,,0.06,CZK,,,Share lending interest,872007b8-1fb9-4812-bcaa-4b54708da462,,,,
Dividend (Dividend),2024-04-30 11:59:02,US46625H1005,JPM,JPMorgan Chase & Co,0.5346805,0.98,USD,Not available,,,12.27,CZK,0.09,USD,,,,,,
Lending interest,2024-05-01 01:14:38,,,,,,,,,,0.06,CZK,,,Share lending interest,4809c04e-33ba-470b-9754-6eacd94936f2,,,,
Lending interest,2024-05-02 01:16:23,,,,,,,,,,0.06,CZK,,,Share lending interest,8bdc530f-2e43-4114-a29e-f01798b00c8e,,,,
Lending interest,2024-05-03 01:14:30,,,,,,,,,,0.06,CZK,,,Share lending interest,b6aef5a7-850a-4dbd-9a75-0196028b3e1b,,,,
Lending interest,2024-05-04 01:16:35,,,,,,,,,,0.06,CZK,,,Share lending interest,975e0d3b-c23b-49d0-975c-38697e053d19,,,,
Lending interest,2024-05-06 01:14:36,,,,,,,,,,0.12,CZK,,,Share lending interest,790f82cf-c7b5-426e-bb62-6d52f3736c32,,,,
Market sell,2024-05-06 17:12:03,US6098391054,MPWR,Monolithic Power Systems,0.0118949,725.18,USD,0.04306,21.28,CZK,200.0,CZK,,,,EOF14101284648,0.3,CZK,,
Market sell,2024-05-06 17:12:35,US5949181045,MSFT,Microsoft,0.0315745,409.82,USD,0.04306,27.95,CZK,300.0,CZK,,,,EOF14101284806,0.45,CZK,,
Market sell,2024-05-06 17:17:38,US02079K3059,GOOGL,Alphabet (Class A),0.1807514,167.02,USD,0.04306,104.77,CZK,700.0,CZK,,,,EOF14101285326,1.05,CZK,,
Lending interest,2024-05-07 01:16:02,,,,,,,,,,0.06,CZK,,,Share lending interest,387b2c1a-76a5-455f-b3c0-0539dfad7874,,,,
Market buy,2024-05-07 07:58:30,DE0007030009,RHM,Rheinmetall,0.0880977,549.4,EUR,0.03996,,CZK,1213.05,CZK,,,,EOF14150203163,1.82,CZK,,
Market sell,2024-05-07 16:20:17,US46625H1005,JPM,JPMorgan Chase & Co,0.067232,192.38,USD,0.04304,69.82,CZK,300.0,CZK,,,,EOF14151647802,0.45,CZK,,
Market sell,2024-05-07 16:21:12,US0846707026,BRK.B,Berkshire Hathaway (Class B),0.0319844,404.34,USD,0.04304,46.61,CZK,300.0,CZK,,,,EOF14151647865,0.45,CZK,,
Market sell,2024-05-07 16:52:11,US5949181045,MSFT,Microsoft,0.0104703,411.57,USD,0.04302,9.79,CZK,100.0,CZK,,,,EOF14152801421,0.15,CZK,,
Market sell,2024-05-07 16:52:47,US02079K3059,GOOGL,Alphabet (Class A),0.0427716,171.27,USD,0.04302,29.15,CZK,169.99,CZK,,,,EOF14152801466,0.26,CZK,,
Market buy,2024-05-07 17:01:18,US88160R1014,TSLA,Tesla,0.0647272,179.3,USD,0.04304,,CZK,269.99,CZK,,,,EOF14152802521,0.4,CZK,,
Lending interest,2024-05-08 01:16:51,,,,,,,,,,0.06,CZK,,,Share lending interest,b0cbd534-99ac-455e-9162-fc91ea491996,,,,
Market buy,2024-05-08 07:00:05,DE0007030009,RHM,Rheinmetall,0.0448683,533.2,EUR,0.03993,,CZK,600.0,CZK,,,,EOF14152826944,0.9,CZK,,
Market sell,2024-05-08 16:44:25,US46625H1005,JPM,JPMorgan Chase & Co,0.022238,193.38,USD,0.04293,23.87,CZK,100.0,CZK,,,,EOF14201024665,0.15,CZK,,
Market buy,2024-05-08 16:45:58,US19260Q1076,COIN,Coinbase,0.0200988,213.44,USD,0.04296,,CZK,100.0,CZK,,,,EOF14201024779,0.15,CZK,,
Lending interest,2024-05-10 01:17:04,,,,,,,,,,0.06,CZK,,,Share lending interest,bdd5a348-ad52-46d6-82a4-01ca4785ea80,,,,
Market sell,2024-05-10 17:13:45,US88160R1014,TSLA,Tesla,0.4390026,168.65,USD,0.04326,8.18,CZK,1708.79,CZK,,,,EOF14301379934,2.57,CZK,,
Market sell,2024-05-10 17:21:01,US6098391054,MPWR,Monolithic Power Systems,0.0185206,701.33,USD,0.04323,21.7,CZK,300.0,CZK,,,,EOF14301380407,0.45,CZK,,
Market buy,2024-05-10 17:24:07,US0231351067,AMZN,Amazon,0.0690899,187.57,USD,0.04326,,CZK,300.0,CZK,,,,EOF14301380585,0.45,CZK,,
Market sell,2024-05-10 17:26:38,US19260Q1076,COIN,Coinbase,0.1291394,201.15,USD,0.04322,131.14,CZK,600.0,CZK,,,,EOF14301380719,0.9,CZK,,
Market buy,2024-05-10 17:28:27,US0231351067,AMZN,Amazon,0.0460944,187.4,USD,0.04325,,CZK,200.0,CZK,,,,EOF14301380850,0.3,CZK,,
Market buy,2024-05-10 17:28:56,US02079K3059,GOOGL,Alphabet (Class A),0.0517256,167.01,USD,0.04325,,CZK,200.0,CZK,,,,EOF14301380900,0.3,CZK,,
Market buy,2024-05-10 17:47:27,US88160R1014,TSLA,Tesla,0.4101691,168.49,USD,0.04325,,CZK,1600.0,CZK,,,,EOF14301382542,2.4,CZK,,
Deposit,2024-05-10 19:29:21,,,,,,,,,,1000.0,CZK,,,Transaction ID: DDB4RNMSLWJJ83X3,599b9cc7-5d42-405b-87dc-732ff9252d4d,,,,
Market buy,2024-05-10 19:29:54,US02209S1033,MO,Altria,0.120385,44.85,USD,0.04325,,CZK,125.0,CZK,,,,EOF14301392403,0.19,CZK,,
Market buy,2024-05-10 19:30:34,US04010L1035,ARCC,Ares Capital,0.256012,21.09,USD,0.04326,,CZK,125.0,CZK,,,,EOF14301392722,0.19,CZK,,
Market buy,2024-05-10 19:31:22,US4781601046,JNJ,Johnson & Johnson,0.0360647,149.7,USD,0.04325,,CZK,125.0,CZK,,,,EOF14301392775,0.19,CZK,,
Market buy,2024-05-10 19:32:06,US56035L1044,MAIN,Main Street Capital,0.108566,49.73,USD,0.04325,,CZK,125.0,CZK,,,,EOF14301392828,0.19,CZK,,
Market buy,2024-05-10 19:32:13,CA7063271034,PBA,Pembina Pipeline,0.146751,36.79,USD,0.04325,,CZK,125.0,CZK,,,,EOF14301392846,0.19,CZK,,
Market buy,2024-05-10 19:33:01,US7561091049,O,Realty Income,0.098021,55.08,USD,0.04325,,CZK,125.0,CZK,,,,EOF14301392903,0.19,CZK,,
Market buy,2024-05-10 19:34:15,US85254J1025,STAG,STAG Industrial,0.1526,35.38,USD,0.04325,,CZK,125.0,CZK,,,,EOF14301392989,0.19,CZK,,
